,followers_count,following_count,name,tweet_count,listed_count
391,9017,5546,nan,76125,358
392,5548,220,westlinen,6123,159
393,1028,77,takedasoichiro,29709,54
394,6505,153,takekan,7806,294
395,9017,5546,nan,76125,358
396,9017,5546,nan,76125,358
397,1172,92,takekaz0205,3042,56
398,9017,5546,nan,76125,358
399,9017,5546,nan,76125,358
400,32531,189,nakaharajun,32072,1378
401,9017,5546,nan,76125,358
402,23866,3044,NakayamaYujiro,18825,291
403,8249,303,nakanishimasao,7123,69
404,9017,5546,nan,76125,358
405,9017,5546,nan,76125,358
406,1836,17,centrocampistak,5921,47
407,9017,5546,nan,76125,358
408,78,3,nakatsuka_lab,91,3
409,8826,1144,dig_nkt_v2,33910,199
410,9017,5546,nan,76125,358
411,9017,5546,nan,76125,358
412,9017,5546,nan,76125,358
413,3920,874,kappanosuke,23189,84
414,8306,442,MadokaNakano,9033,105
415,192,268,kosuke_nakazawa,421,6
416,9017,5546,nan,76125,358
417,9219,1166,MasakoHasegawa,20762,293
418,467,326,8se10mo,3576,14
419,4660,351,toriumikotaro,5405,97
420,9017,5546,nan,76125,358
421,9017,5546,nan,76125,358
422,9017,5546,nan,76125,358
423,749,962,2_gold,10425,12
424,4079,1503,keikoworld,26995,202
425,9017,5546,nan,76125,358
426,505,286,kenjitsuda2007,669,18
427,1655,275,rgkeikos,4694,15
428,5723,930,KenjiTsukagoshi,39779,361
429,1776,163,tuka000,1798,98
430,19995,335,reichsneet,3447,573
431,9061,1934,hiroshitsujino,33464,520
432,2249,877,mame3,26298,215
433,391,618,tasty_tasaka,3535,22
434,3838,929,Gotama7,75169,170
435,29043,324,tajiri0818,10509,418
436,2192,1832,tashiro_m,1184,159
437,353,42,tanakameg,585,9
438,1389,551,hissak2,1444,19
439,6111,102,akkun59,13879,312
440,976,324,shinjitnk1,5553,16
441,9017,5546,nan,76125,358
442,697,130,tanakamiho_tw,641,7
443,9017,5546,nan,76125,358
444,9017,5546,nan,76125,358
445,9017,5546,nan,76125,358
446,49486,545,nabeteru1Q78,96807,1285
447,2049,3547,yaramaika,15240,38
448,13135,12658,info_history1,251,145
449,9071,21,hrw_tokyo,1777,256
450,9017,5546,nan,76125,358
451,7443,396,7mayu7mayu7,34611,137
452,15106,87,takero_doi,8652,1000
453,5764,528,dobatty,8136,307
454,9017,5546,nan,76125,358
455,930,520,shimadakaor,1958,8
456,823,230,mzako2017,133,19
457,19523,534,shima_chikara,28125,418
458,1097,36,toryu76,4434,29
459,56962,128,yuasamakoto,1867,2923
460,3242,311,sunaneko,3632,193
461,11189,35,seijifujii1965,18267,872
462,1079,1504,ritsukouho,4905,49
463,211,99,funiwarachiaki,368,1
464,16934,58,chizurufgarcia,19000,993
465,1785,1427,gaku_gaku,6752,51
466,9017,5546,nan,76125,358
467,12029,637,fujisiro,33834,1035
468,68563,299,fujitatakanori,28706,1162
469,4508,1776,Asakikiki,9289,136
470,4364,1741,a_____5ya,5996,25
471,147872,7252,tokuriki,38054,3485
472,6061,817,aki0721,7802,195
473,5750,1128,uchdmski,19963,132
474,41589,169,RyoUchida_RIRIS,34606,676
475,722,369,musictigerkk,999,27
476,9017,5546,nan,76125,358
477,9017,5546,nan,76125,358
478,45353,3810,masanork,146996,2201
479,9017,5546,nan,76125,358
480,10462,196,Nikuchang294,5085,54
481,9017,5546,nan,76125,358
482,9017,5546,nan,76125,358
483,860,484,gempartners,1012,51
484,8042,2729,shirakawatouko,32885,155
485,1139,1344,btc_hogei_movie,2187,43
486,16754,11218,S_HANAWA,37737,467
487,655,107,sakiiizuka,2315,13
488,5937,291,makiko_iizuka,4377,453
489,2769,881,cattower,17843,144
490,9017,5546,nan,76125,358
491,9184,305,higuchism,21129,524
492,9017,5546,nan,76125,358
493,9017,5546,nan,76125,358
494,19524,51,Fuwarin,441350,971
495,794,511,jazz_aet,15747,48
496,586,647,oregaiu,800,19
497,2750,142,miyuki_tominaga,1544,36
